Tiempo,Corriente,Velocidad
0.0,0.0,0.0
0.001,0.030720610078575513,0.07997435303387451
0.002,0.06718347540319265,0.41569019602925716
0.003,0.0867443290749326,0.9390035838496763
0.004,0.09430402086838671,1.5478704959741707
0.005,0.09644913657083831,2.1850612640602063
0.006,0.09679927627470745,2.827931741544704
0.007,0.0967669965479434,3.4700183524485224
0.008,0.0967481804703841,4.110410589564951
0.009000000000000001,0.09679482018130087,4.749465308005043
0.01,0.09688259072996813,5.387553132292275
0.011,0.09698774487626907,6.024866088897219
0.012,0.09709821819294705,6.661476338558501
0.013000000000000001,0.09720956818675511,7.297403411080637
0.014,0.0973206506827915,7.9326498644776
0.015,0.09743136878068967,8.567214853633885
0.016,0.09754182805413171,9.201097801231555
0.017,0.09765211256538392,9.834298810204205
0.018000000000000002,0.09776226220087816,10.466818392223132
0.019,0.09787229088850756,11.098657227492625
0.02,0.09798220197243798,11.729816046488507
0.021,0.09809199565854036,12.360295587509636
0.022,0.09820167164952363,12.99009658618698
0.023,0.0983112297808245,13.619219774848993
0.024,0.09842067004989045,14.247665883656955
0.025,0.0985299925413287,14.875435641448355
0.026000000000000002,0.09863919737319073,15.502529776125597
0.027,0.0987482846726177,16.128949014787942
0.028,0.09885725456772908,16.754694083761418
0.029,0.09896610718587548,17.37976570859941
0.03,0.09907484265369186,18.00416461407904
0.031,0.09918346109738481,18.627891524199097
0.032,0.09929196264292214,19.250947162179614
0.033,0.09940034741610858,19.873332250462312
0.034,0.09950861554261155,20.495047510711366
0.035,0.09961676714796606,21.116093663814237
0.036000000000000004,0.09972480235757435,21.73647142988254
0.037,0.09983272129670397,22.35618152825287
0.038,0.09994052409048841,22.975224677487653
0.039,0.1000482108639269,23.59360159537599
0.04,0.10015578174188365,24.211312998934464
0.041,0.10026323684908829,24.828359604407993
0.042,0.10037057631013657,25.44474212727065
0.043000000000000003,0.10047780024949028,26.060461282226495
0.044,0.10058490879147712,26.6755177832104
0.045,0.10069190206029081,27.289912343388885
0.046,0.10079878017999125,27.903645675160945
0.047,0.10090554327450563,28.516718490158862
0.048,0.1010121914676267,29.129131499249045
0.049,0.1011187248830149,29.740885412532844
0.05,0.10122514364419684,30.351980939347385
0.051000000000000004,0.10133144787456733,30.962418788266383
0.052000000000000005,0.10143763769738663,31.572199667100968
0.053,0.10154371323578383,32.1813242829005
0.054,0.10164967461275429,32.78979334195339
0.055,0.10175552195116305,33.39760754978794
0.056,0.10186125537374079,34.00476761117312
0.057,0.10196687500308657,34.61127423011943
0.058,0.10207238096166796,35.21712810987967
0.059000000000000004,0.10217777337182134,35.822329952949794
0.06,0.10228305235574911,36.42688046106971
0.061,0.1023882180355251,37.030780335224094
0.062,0.10249327053309015,37.634030275643205
0.063,0.10259820997025325,38.236630981803685
0.064,0.10270303646869428,38.83858315242939
0.065,0.10280775014996127,39.43988748549219
0.066,0.10291235113546911,40.04054467821278
0.067,0.10301683954650606,40.64055542706148
0.068,0.10312121550422637,41.23992042775904
0.069,0.10322547912965654,41.83864037527747
0.07,0.10332963054369186,42.43671596384084
0.07100000000000001,0.10343366986709664,43.03414788692606
0.07200000000000001,0.10353759722050596,43.630936837263704
0.073,0.10364141272442505,44.227083506838824
0.074,0.10374511649922936,44.82258858689172
0.075,0.10384870866516555,45.41745276791877
0.076,0.10395218934234965,46.01167673967321
0.077,0.10405555865076896,46.60526119116597
0.078,0.1041588167102812,47.19820681066643
0.079,0.10426196364061613,47.79051428570322
0.08,0.10436499956137392,48.38218430306505
0.081,0.10446792459202653,48.973217548801514
0.082,0.10457073885191563,49.56361470822381
0.083,0.10467344246025699,50.153376465905616
0.084,0.10477603553613643,50.74250350568384
0.085,0.10487851819851234,51.330996510659446
0.08600000000000001,0.10498089056621417,51.91885616319821
0.08700000000000001,0.10508315275794464,52.506083144931516
0.088,0.10518530489227823,53.09267813675718
0.089,0.10528734708766167,53.678641818840205
0.09,0.10538927946241336,54.26397487061359
0.091,0.10549110213472686,54.84867797077909
0.092,0.1055928152226662,55.43275179730806
0.093,0.10569441884416891,56.01619702744216
0.094,0.10579591311704603,56.599014337694214
0.095,0.10589729815898155,57.181204403848945
0.096,0.10599857408753266,57.76276790096379
0.097,0.10609974102013113,58.34370550336966
0.098,0.10620079907407974,58.924017884671755
0.099,0.10630174836655802,59.50370571775029
0.1,0.10640258901461823,60.082769674761344
0.101,0.10650332113518549,60.66121042713757
0.10200000000000001,0.1066039448450603,61.239028645589016
0.10300000000000001,0.1067044602609175,61.81622500010391
0.10400000000000001,0.1068048674993066,62.3928001599494
0.105,0.10690516667664947,62.96875479367236
0.106,0.10700535790924713,63.54408956910016
0.107,0.10710544131327049,64.11880515334141
0.108,0.10720541700476745,64.6929022127868
0.109,0.10730528509966362,65.2663814131098
0.11,0.10740504571375549,65.83924341926748
0.111,0.10750469896271672,66.41148889550125
0.112,0.10760424496209715,66.98311850533766
0.113,0.10770368382732208,67.55413291158914
0.114,0.10780301567369135,68.1245327763548
0.115,0.1079022406163832,68.69431876102117
0.116,0.10800135877044861,69.26349152626297
0.117,0.10810037025081752,69.83205173204391
0.11800000000000001,0.10819927517229486,70.4000000376174
0.11900000000000001,0.10829807364956139,70.96733710152736
0.12,0.10839676579717727,71.53406358160896
0.121,0.10849535172957585,72.1001801349894
0.122,0.10859383156106824,72.66568741808864
0.123,0.10869220540584505,73.23058608662019
0.124,0.10879047337797115,73.79487679559189
0.125,0.1088886355913891,74.35856019930661
0.126,0.10898669215992086,74.92163695136304
0.127,0.10908464319726387,75.48410770465648
