Tiempo,Corriente,Velocidad
0.0,0.0,0.0
0.001,0.04583208409234594,0.2228849425766988
0.002,0.07578287575690243,0.7027558012470922
0.003,0.08841174245682788,1.315979661680788
0.004,0.09215708617348183,1.9767458111931657
0.005,0.09274106248962534,2.6478790467188635
0.006,0.0926131707537532,3.318175141378589
0.007,0.09250135505276755,3.985976624675359
0.008,0.09250813107343431,4.651905557952783
0.009000000000000001,0.09258973811026215,5.31661991469992
0.01,0.09270205876910301,5.98045469211508
0.011,0.09282297112163362,6.643528795625542
0.012,0.09294475213364917,7.305869281827245
0.013000000000000001,0.09306572681829935,7.9674761433722425
0.014,0.09318597647006137,8.628345679567502
0.015,0.09330580871186128,9.288475893203673
0.016,0.09342541188661294,9.947866458798817
0.017,0.09354486215403814,10.60651788178923
0.018000000000000002,0.0936641806374552,11.26443095500857
0.019,0.09378336961453679,11.921606531991571
0.02,0.09390242743568723,12.578045461724125
0.021,0.09402135275377205,13.233748580538686
0.022,0.09414014501561394,13.888716716744602
0.023,0.09425880413978006,14.54295069487994
0.024,0.09437733023176227,15.196451337781273
0.025,0.09449572344718722,15.84921946728794
0.026000000000000002,0.09461398394589032,16.501255904387335
0.027,0.09473211188274966,17.152561469203153
0.028,0.09485010740868693,17.803136980966165
0.029,0.09496797067271481,18.452983257997456
0.03,0.09508570182311776,19.10210111770245
0.031,0.0952033010079136,19.75049137657006
0.032,0.09532076837497402,20.398154850173597
0.033,0.09543810407203208,21.045092353171942
0.034,0.09555530824667136,21.691304699310745
0.035,0.09567238104631423,22.336792701423498
0.036000000000000004,0.09578932261822025,22.98155717143257
0.037,0.0959061331094847,23.625598920350257
0.038,0.09602281266703672,24.26891875827978
0.039,0.0961393614376407,24.911517494416316
0.04,0.0962557795678966,25.553395937048005
0.041,0.09637206720424026,26.19455489355697
0.042,0.09648822449294334,26.834995170420335
0.043000000000000003,0.09660425158011328,27.474717573211237
0.044,0.09672014861169442,28.11372290659985
0.045,0.09683591573346588,28.75201197435437
0.046,0.09695155309104586,29.38958557934206
0.047,0.0970670608298865,30.026444523530238
0.048,0.09718243909527953,30.66258960798728
0.049,0.0972976880323521,31.298021632883653
0.05,0.09741280778606984,31.932741397492904
0.051000000000000004,0.09752779850123444,32.56674970019267
0.052000000000000005,0.09764266032248678,33.200047338465666
0.053,0.09775739339430502,33.832635108900725
0.054,0.09787199786100488,34.46451380719376
0.055,0.09798647386674118,35.095684228148805
0.056,0.09810082155550609,35.72614716567897
0.057,0.09821504107113106,36.355903412807464
0.058,0.09832913255728684,36.98495376166861
0.059000000000000004,0.09844309615748187,37.61329900350879
0.06,0.09855693201506592,38.2409399286875
0.061,0.09867064027322538,38.86787732667831
0.062,0.09878422107498729,39.49411198606986
0.063,0.09889767456321907,40.11964469456685
0.064,0.09901100088062723,40.744476238991055
0.065,0.0991242001697577,41.368607405282276
0.066,0.09923727257299715,41.992038978499366
0.067,0.09935021823257432,42.61477174282117
0.068,0.09946303729055664,43.23680648154757
0.069,0.09957572988885269,43.858143977100426
0.07,0.09968829616921152,44.4787850110246
0.07100000000000001,0.09980073627322363,45.098730363988885
0.07200000000000001,0.0999130503423221,45.71798081578703
0.073,0.10002523851777977,46.336537145338696
0.074,0.10013730094071166,46.95440013069047
0.075,0.10024923775207538,47.57157054901682
0.076,0.10036104909266888,48.18804917662104
0.077,0.10047273510313251,48.80383678893631
0.078,0.10058429592395132,49.418934160526575
0.079,0.10069573169544983,50.033342065087574
0.08,0.10080704255779913,50.647061275447825
0.081,0.10091822865100912,51.260092563569586
0.082,0.10102929011493392,51.872436700549784
0.083,0.10114022708927056,52.48409445662103
0.084,0.10125103971356399,53.095066601152574
0.085,0.10136172812719606,53.70535390265128
0.08600000000000001,0.10147229246939643,54.31495712876261
0.08700000000000001,0.10158273287923611,54.923877046271514
0.088,0.10169304949563421,55.53211442110349
0.089,0.10180324245735035,56.139670018325496
0.09,0.10191331190299015,56.74654460214691
0.091,0.1020232579710026,57.3527389359205
0.092,0.102133080799684,57.95825378214339
0.093,0.1022427805271742,58.56308990245804
0.094,0.10235235729145767,59.16724805765317
0.095,0.10246181123036352,59.770729007664684
0.096,0.10257114248156975,60.37353351157672
0.097,0.10268035118259687,60.97566232762251
0.098,0.10278943747081315,61.57711621318542
0.099,0.10289840148343166,62.17789592479985
0.1,0.10300724335751016,62.77800221815217
0.101,0.10311596322995675,63.37743584808172
0.10200000000000001,0.10322456123752252,63.97619756858171
0.10300000000000001,0.10333303751680792,64.57428813280023
0.10400000000000001,0.1034413922042573,65.17170829304114
0.105,0.10354962543616775,65.76845880076502
0.106,0.10365773734867362,66.36454040659018
0.107,0.1037657280777669,66.9599538602935
0.108,0.1038735977592839,67.55469991081145
0.109,0.10398134652890514,68.14877930624105
0.11,0.1040889745221607,68.74219279384073
0.111,0.10419648187443212,69.33494112003133
0.112,0.10430386872094538,69.92702503039699
0.113,0.10441113519677672,70.51844526968617
0.114,0.10451828143685117,71.1092025818125
0.115,0.10462530757594168,71.69929770985574
0.116,0.10473221374867038,72.2887313960628
0.117,0.10483900008950656,72.87750438184854
0.11800000000000001,0.10494566673277068,73.46561740779676
0.11900000000000001,0.1050522138126355,74.05307121366113
0.12,0.1051586414631196,74.63986653836615
0.121,0.10526494981809104,75.22600412000807
0.122,0.10537113901126804,75.81148469585575
0.123,0.1054772091762226,76.3963090023517
0.124,0.10558316044637225,76.98047777511289
0.125,0.10568899295498775,77.56399174893174
0.126,0.10579470683519215,78.14685165777709
0.127,0.10590030221995259,78.72905823479503
