Tiempo,P_angular,V_angular
12.556000000000001,0.7802709863141413,-0.266362337692455
12.557,0.7800011737576337,-0.27326246175019736
12.558,0.7797244620258904,-0.28016068005872224
12.559000000000001,0.7794408530489804,-0.2870569439746585
12.56,0.7791503488056283,-0.29395120482843934
12.561,0.7788529513232426,-0.30084341392369635
12.562,0.7785486626779414,-0.3077335225366572
12.563,0.7782374849945803,-0.31462148191554623
12.564,0.7779194204467814,-0.32150724327998825
12.565,0.7775944712569615,-0.32839075782041527
12.566,0.7772626396963614,-0.3352719766974771
12.567,0.7769239280850773,-0.34215085104145526
12.568,0.7765783387920895,-0.3490273319516799
12.569,0.7762258742352954,-0.35590137049595083
12.57,0.7758665368815406,-0.36277291770996184
12.571,0.7755003292466509,-0.36964192459672907
12.572000000000001,0.775127253895466,-0.3765083421260226
12.573,0.7747473134418723,-0.3833721212338025
12.574,0.7743605105488379,-0.3902332128216582
12.575000000000001,0.7739668479284464,-0.3970915677562522
12.576,0.7735663283419324,-0.4039471368687681
12.577,0.7731589545997174,-0.410799870954362
12.578,0.7727447295614459,-0.4176497207716186
12.579,0.7723236561360226,-0.4244966370420116
12.58,0.771895737281649,-0.43134057044936824
12.581,0.7714609760058623,-0.43818147163933835
12.582,0.7710193753655733,-0.4450192912188678
12.583,0.770570938467105,-0.4518539797556766
12.584,0.7701156684662329,-0.4586854877777416
12.585,0.7696535685682246,-0.4655137657727838
12.586,0.7691846420278803,-0.4723387641877604
12.587,0.7687088921495735,-0.47916043342836184
12.588000000000001,0.7682263222872933,-0.48597872385851365
12.589,0.7677369358446855,-0.4927935857998831
12.59,0.767240736275096,-0.499604969531391
12.591000000000001,0.7667377270816136,-0.506412825288729
12.592,0.7662279118171124,-0.5132171032638815
12.593,0.7657112940842968,-0.5200177536046527
12.594,0.7651878775357462,-0.5268147264141999
12.595,0.7646576658739589,-0.5336079717505707
12.596,0.7641206628513979,-0.5403974396262471
12.597,0.7635768722705372,-0.5471830800076943
12.598,0.7630262979839068,-0.5539648428149158
12.599,0.7624689438941404,-0.5607426779210123
12.6,0.7619048139540227,-0.567516535151749
12.601,0.7613339121665356,-0.574286364285127
12.602,0.7607562425849076,-0.5810521150509601
12.603,0.7601718093126618,-0.5878137371304594
12.604000000000001,0.7595806165036642,-0.5945711801558216
12.605,0.7589826683621733,-0.6013243937098259
12.606,0.7583779691428899,-0.6080733273254347
12.607000000000001,0.757766523151007,-0.6148179304854015
12.608,0.7571483347422598,-0.6215581526218849
12.609,0.7565234083229768,-0.6282939431160695
12.61,0.7558917483501314,-0.6350252512977924
12.611,0.7552533593313923,-0.6417520264451761
12.612,0.7546082458251765,-0.6484742177842686
12.613,0.7539564124407011,-0.6551917744886894
12.614,0.7532978638380362,-0.6619046456792829
12.615,0.7526326047281572,-0.6686127804237773
12.616,0.7519606398729987,-0.6753161277364514
12.617,0.7512819740855075,-0.6820146365778083
12.618,0.7505966122296973,-0.6887082558542542
12.619,0.7499045592207026,-0.6953969344177867
12.620000000000001,0.749205820024833,-0.7020806210656881
12.621,0.7485003996596284,-0.7087592645402274
12.622,0.7477883031939141,-0.7154328135283673
12.623000000000001,0.7470695357478561,-0.7221012166614811
12.624,0.746344102493017,-0.7287644225150743
12.625,0.745612008652412,-0.7354223796085155
12.626,0.744873259500565,-0.7420750364047733
12.627,0.7441278603635656,-0.7487223413101617
12.628,0.7433758166191247,-0.755364242674092
12.629,0.7426171336966331,-0.7620006887888333
12.63,0.7418518170772178,-0.7686316278892797
12.631,0.7410798722937996,-0.7752570081527264
12.632,0.7403013049311508,-0.7818767776986512
12.633000000000001,0.7395161206259534,-0.7884908845885069
12.634,0.7387243250668571,-0.7950992768255194
12.635,0.7379259239945376,-0.8017019023544942
12.636000000000001,0.7371209232017548,-0.8082987090616311
12.637,0.7363093285334119,-0.8148896447743472
12.638,0.7354911458866141,-0.8214746572611072
12.639000000000001,0.7346663812107279,-0.8280536942312624
12.64,0.7338350405074399,-0.8346267033348982
12.641,0.7329971298308161,-0.8411936321626886
12.642,0.7321526552873621,-0.847754428245761
12.643,0.7313016230360818,-0.854309039055567
