Tiempo,P_angular,V_angular
0.0,0.7853981633974483,0.0
0.001,0.7853946950406915,-0.006936709503759468
0.002,0.7853842899944802,-0.013873370889302048
0.003,0.785366948330992,-0.020809936037743313
0.004,0.7853426701705238,-0.02774635682886383
0.005,0.7853114556814941,-0.03468258514044186
0.006,0.7852733050804444,-0.041618572847586244
0.007,0.7852282186320431,-0.04855427182206962
0.008,0.7851761966490884,-0.05548963393166198
0.009000000000000001,0.7851172394925136,-0.062424611039464714
0.01,0.7850513475713908,-0.06935915500324512
0.011,0.7849785213429378,-0.07629321767477155
0.012,0.7848987613125236,-0.08322675089914922
0.013000000000000001,0.7848120680336759,-0.09015970651415667
0.014,0.7847184421080884,-0.09709203634958323
0.015,0.7846178841856294,-0.10402369222656717
0.016,0.7845103949643506,-0.11095462595693495
0.017,0.784395975190497,-0.11788478934254142
0.018000000000000002,0.7842746256585166,-0.12481413417461118
0.019,0.7841463472110721,-0.13174261223308117
0.02,0.7840111407390522,-0.13867017528594436
0.021,0.7838690071815836,-0.14559677508859495
0.022,0.7837199475260442,-0.15252236338317485
0.023,0.783563962808077,-0.15944689189792172
0.024,0.7834010541116037,-0.16637031234651856
0.025,0.7832312225688397,-0.17329257642744478
0.026000000000000002,0.7830544693603102,-0.18021363582332922
0.027,0.7828707957148657,-0.18713344220030476
0.028,0.7826802029096993,-0.19405194720736477
0.029,0.7824826922703637,-0.20096910247572167
0.03,0.7822782651707897,-0.2078848596181672
0.031,0.7820669230333046,-0.214799170228435
0.032,0.781848667328652,-0.2217119858805653
0.033,0.7816234995760114,-0.2286232581282716
0.034,0.7813914213430191,-0.23553293850431
0.035,0.7811524342457894,-0.2424409785198505
0.036000000000000004,0.7809065399489363,-0.24934732966385106
0.037,0.7806537401655965,-0.256251943402434
0.038,0.7803940366574521,-0.263154771178265
0.039,0.7801274312347545,-0.27005576440993484
0.04,0.7798539257563487,-0.27695487449134365
0.041,0.7795735221296987,-0.2838520527910882
0.042,0.7792862223109125,-0.290747250651852
0.043000000000000003,0.7789920283047689,-0.29764041938979807
0.044,0.7786909421647439,-0.30453151029396536
0.045,0.7783829659930381,-0.31142047462566746
0.046,0.7780681019406054,-0.3183072636178952
0.047,0.7777463522071805,-0.3251918284747218
0.048,0.7774177190413092,-0.332074120370712
0.049,0.7770822047403775,-0.3389540904503341
0.05,0.7767398116506423,-0.3458316898273755
0.051000000000000004,0.7763905421672623,-0.3527068695843621
0.052000000000000005,0.7760343987343297,-0.35957958077198077
0.053,0.7756713838449018,-0.36644977440850596
0.054,0.7753015000410343,-0.3733174014792297
0.055,0.7749247499138143,-0.3801824129358957
0.056,0.7745411361033943,-0.3870447596961371
0.057,0.7741506612990261,-0.39390439264291816
0.058,0.7737533282390966,-0.4007612626239802
0.059000000000000004,0.7733491397111624,-0.4076153204512915
0.06,0.7729380985519864,-0.41446651690050124
0.061,0.7725202076475741,-0.42131480271039784
0.062,0.7720954699332111,-0.4281601285823716
0.063,0.7716638883935004,-0.4350024451798816
0.064,0.7712254660624007,-0.44184170312792714
0.065,0.7707802060232652,-0.44867785301252366
0.066,0.7703281114088809,-0.45551084538018327
0.067,0.769869185401508,-0.4623406307373999
0.068,0.7694034312329204,-0.46916715955013916
0.069,0.768930852184447,-0.47599038224333307
0.07,0.768451451587012,-0.4828102492003796
0.07100000000000001,0.7679652328211773,-0.48962671076264724
0.07200000000000001,0.7674721993171849,-0.4964397172289842
0.073,0.766972354554999,-0.5032492188552334
0.074,0.7664657020643499,-0.5100551658537518
0.075,0.7659522454247775,-0.5168575083929353
0.076,0.7654319882656754,-0.5236561965967493
0.077,0.7649049342663357,-0.530451180544264
0.078,0.7643710871559939,-0.537242410269195
0.079,0.763830450713875,-0.5440298357594503
0.08,0.7632830287692388,-0.5508134069566821
0.081,0.762728825201427,-0.5575930737558443
0.082,0.76216784393991,-0.5643687860047557
0.083,0.7616000889643337,-0.571140493503669
0.084,0.761025564304568,-0.5779081460048461
0.085,0.7604442740407548,-0.5846716932121382
0.08600000000000001,0.7598562223033561,-0.591431084780573
0.08700000000000001,0.7592614132732041,-0.5981862703159473
0.088,0.7586598511815493,-0.6049371993744252
0.089,0.7580515403101116,-0.6116838214621442
0.09,0.7574364849911295,-0.6184260860348251
0.091,0.7568146896074114,-0.6251639424973903
0.092,0.7561861585923862,-0.6318973402035873
0.093,0.755550896430155,-0.638626228455619
0.094,0.7549089076555424,-0.6453505565037801
0.095,0.7542601968541488,-0.6520702735461007
0.096,0.753604768662403,-0.6587853287279958
0.097,0.7529426277676148,-0.665495671141922
0.098,0.7522737789080282,-0.6722012498270407
0.099,0.7515982268728746,-0.678902013768888
0.1,0.750915976502427,-0.6855979118990518
0.101,0.750227032688054,-0.6922888930948555
0.10200000000000001,0.749531400372274,-0.6989749061790488
0.10300000000000001,0.7488290845488099,-0.7056558999195054
0.10400000000000001,0.7481200902626447,-0.7123318230289283
0.105,0.747404422610076,-0.7190026241645616
0.106,0.7466820867387723,-0.7256682519279104
0.107,0.7459530878478285,-0.7323286548644666
0.108,0.745217431187822,-0.7389837814634439
0.109,0.7444751220608693,-0.7456335801575185
0.11,0.7437261658206826,-0.7522779993225782
0.111,0.7429705678726268,-0.7589169872774795
0.112,0.7422083336737765,-0.7655504922838106
0.113,0.7414394687329734,-0.7721784625456638
0.114,0.740663978610884,-0.778800846209415
0.115,0.7398818689200571,-0.7854175913635106
0.116,0.7390931453249827,-0.7920286460382627
0.117,0.7382978135421491,-0.7986339582056521
0.11800000000000001,0.7374958793401021,-0.8052334757791391
0.11900000000000001,0.7366873485395032,-0.8118271466134822
0.12,0.7358722270131889,-0.8184149185045658
0.121,0.7350505206862289,-0.8249967391892346
0.122,0.734222235535986,-0.8315725563451368
0.123,0.7333873775921748,-0.8381423175905764
0.124,0.7325459529369214,-0.8447059704843723
0.125,0.7316979677048229,-0.8512634625257268
0.126,0.730843428083007,-0.8578147411541018
0.127,0.7299823403111918,-0.8643597537491043
0.128,0.7291147106817459,-0.8708984476303795
0.129,0.7282405455397484,-0.877430770057513
0.13,0.7273598512830485,-0.8839566682299418
0.131,0.7264726343623263,-0.8904760892868733
0.132,0.725578901281153,-0.8969889803072133
0.133,0.7246786585960506,-0.9034952883095035
0.134,0.7237719129165533,-0.9099949602518665
0.135,0.722858670905267,-0.9164879430319608
0.136,0.7219389392779304,-0.9229741834869439
0.137,0.7210127248034752,-0.9294536283934455
0.138,0.720080034304087,-0.9359262244675481
0.139,0.7191408746552651,-0.9423919183647784
0.14,0.718195252785884,-0.9488506566801065
0.14100000000000001,0.7172431756782534,-0.9553023859479549
0.14200000000000002,0.7162846503681786,-0.9617470526422168
0.14300000000000002,0.7153196839450215,-0.9681846031762832
0.14400000000000002,0.714348283551761,-0.9746149839030799
0.145,0.713370456385053,-0.9810381411151133
0.146,0.7123862096952911,-0.9874540210445262
0.147,0.7113955507866669,-0.9938625698631623
0.148,0.7103984870172305,-1.0002637336826412
0.149,0.7093950257989502,-1.0066574585544417
0.15,0.7083851745977731,-1.0130436904699958
0.151,0.7073689409336845,-1.019422375360792
0.152,0.7063463323807685,-1.0257934590984883
0.153,0.7053173565672672,-1.032156887495034
0.154,0.7042820211756406,-1.0385126063028027
0.155,0.7032403339426262,-1.0448605612147348
0.156,0.7021923026592979,-1.0512006978644886
0.157,0.7011379351711258,-1.0575329618266027
0.158,0.7000772393780347,-1.0638572986166681
0.159,0.6990102232344635,-1.0701736536915094
0.16,0.6979368947494233,-1.076481972449377
0.161,0.6968572619865564,-1.0827822002301486
0.162,0.6957713330641941,-1.0890742823155413
0.163,0.6946791161554152,-1.0953581639293335
0.164,0.6935806194881033,-1.1016337902375974
0.165,0.692475851345005,-1.1079011063489406
0.166,0.6913648200637866,-1.1141600573147592
0.167,0.6902475340370918,-1.1204105881295008
0.168,0.6891240017125981,-1.126652643730937
0.169,0.6879942315930734,-1.132886169000447
0.17,0.6868582322364322,-1.1391111087633117
0.171,0.6857160122557918,-1.1453274077890174
0.17200000000000001,0.6845675803195279,-1.1515350107915707
0.17300000000000001,0.6834129451513296,-1.1577338624298235
0.17400000000000002,0.6822521155302544,-1.163923907307808
0.17500000000000002,0.6810851002907836,-1.1701050899750833
0.176,0.6799119083228755,-1.1762773549270915
0.177,0.67873254857202,-1.182440646605525
0.178,0.6775470300392923,-1.1885949093987043
0.179,0.6763553617814053,-1.1947400876419654
0.18,0.6751575529107634,-1.20087612561806
0.181,0.6739536125955141,-1.2070029675575642
0.182,0.6727435500596003,-1.213120557639299
0.183,0.6715273745828118,-1.219228839990761
0.184,0.6703050955008362,-1.2253277586885647
0.185,0.6690767222053099,-1.2314172577588947
0.186,0.6678422641438683,-1.2374972811779683
0.187,0.6666017308201949,-1.2435677728725105
0.188,0.6653551317940716,-1.2496286767202383
0.189,0.6641024766814264,-1.2556799365503561
0.19,0.6628437751543824,-1.2617214961440633
0.191,0.6615790369413053,-1.2677532992350704
0.192,0.6603082718268504,-1.2737752895101282
0.193,0.6590314896520096,-1.2797874106095664
0.194,0.6577487003141578,-1.2857896061278442
0.195,0.6564599137670974,-1.2917818196141109
0.196,0.6551651400211049,-1.297763994572778
0.197,0.653864389142974,-1.3037360744641022
0.198,0.6525576712560599,-1.3096980027047798
